"","sample2","year","Row","Column","type","blk","gc","rs","depth","mass","p__Basidiobolomycota","p__Blastocladiomycota","p__Zoopagomycota","p__Rozellomycota","p__Monoblepharomycota","p__Mucoromycota","p__Olpidiomycota","p__Chytridiomycota","p__Glomeromycota","p__Kickxellomycota","p__Basidiomycota","p__Mortierellomycota","p__Ascomycota"
"sfITS1","1",2019,"A",1,"soil","A","noGC","LV",0,"400",0,0,13,0,0,18,0,2,0,16,833,1411,3637
"sfITS2","2",2019,"A",2,"soil","A","noGC","LV",33,"504",0,0,0,0,0,0,950,0,0,0,2379,651,26468
"sfITS3","3",2019,"A",3,"soil","A","noGC","LV",66,"697",0,0,0,0,0,0,0,0,0,0,25431,0,31063
"sfITS6","6",2019,"A",6,"soil","A","GC","LV",66,"707",0,0,0,0,0,0,0,0,0,0,2021,557,5399
"sfITS8","8",2019,"A",8,"soil","A","noGC","MV",33,"692",0,0,0,0,0,47,0,0,75,629,6894,2536,6486
"sfITS9","9",2019,"A",9,"soil","A","noGC","MV",66,"685",0,0,0,0,0,0,0,0,0,0,10936,0,0
"sfITS10","10",2019,"A",10,"soil","A","GC","MV",0,"738",0,0,0,0,0,0,0,0,0,3,468,555,1491
"sfITS11","11",2019,"A",11,"soil","A","GC","MV",33,"702",0,0,0,0,0,0,0,0,0,0,0,0,13995
"sfITS12","12",2019,"A",12,"soil","A","GC","MV",66,"760",0,0,0,0,0,0,0,0,0,0,11063,13839,8036
"sfITS13","13",2019,"B",1,"soil","B","GC","LV",0,"724",0,0,16,0,0,32,0,10,17,13,1736,3321,5371
"sfITS16","16",2019,"B",4,"soil","B","noGC","LV",0,"708",0,0,15,0,0,0,0,5,0,2,2100,1215,4375
"sfITS17","17",2019,"B",5,"soil","B","noGC","LV",33,"740",0,0,0,0,0,0,0,0,0,0,23746,0,51262
"sfITS18","18",2019,"B",6,"soil","B","noGC","LV",66,"762",0,0,0,0,0,0,0,0,0,0,10,0,27349
"sfITS19","19",2019,"B",7,"soil","B","noGC","MV",0,"744",0,0,0,0,0,5,0,0,0,5,1207,1002,1598
"sfITS20","20",2019,"B",8,"soil","B","noGC","MV",33,"762",0,0,0,0,0,0,0,0,0,0,0,0,0
"sfITS22","22",2019,"B",10,"soil","B","GC","MV",0,"44",0,0,0,0,0,4,0,2,0,17,2656,1343,2487
"sfITS24","24",2019,"B",12,"soil","B","GC","MV",66,"725",0,0,0,0,0,0,0,0,0,0,0,0,1617
"sfITS25","25",2019,"C",1,"soil","C","noGC","MV",0,"766",0,0,8,0,3,7,24,9,4,10,1047,922,3985
"sfITS28","28",2019,"C",4,"soil","C","GC","MV",0,"732",0,0,12,0,0,0,0,4,16,16,645,1149,3741
"sfITS31","31",2019,"C",7,"soil","C","noGC","LV",0,"748",0,0,0,0,0,0,0,12,0,54,699,2415,4564
"sfITS32","32",2019,"C",8,"soil","C","noGC","LV",33,"754",0,0,0,0,0,16,142,0,0,0,7201,8889,13481
"sfITS33","33",2019,"C",9,"soil","C","noGC","LV",66,"683",0,0,0,0,0,0,0,0,0,0,14244,0,6743
"sfITS34","34",2019,"C",10,"soil","C","GC","LV",0,"695",0,0,0,0,0,0,0,3,27,11,717,980,2720
"sfITS35","35",2019,"C",11,"soil","C","GC","LV",33,"774",0,0,0,0,0,0,0,0,0,0,1505,0,2034
"sfITS37","37",2019,"D",1,"fescue","A","GC","LV",0,"925",0,0,0,0,0,0,0,10,0,67,178,9583,624
"sfITS38","38",2019,"D",2,"fescue","A","GC","LV",33,"750",0,0,0,0,0,0,0,29,29,12,6029,2031,2965
"sfITS39","39",2019,"D",3,"fescue","A","GC","MV",0,"944",0,0,0,3,0,0,7,10,0,128,1757,1396,2551
"sfITS40","40",2019,"D",4,"fescue","A","GC","MV",33,"591",0,0,0,0,0,0,0,7,31,42,3599,2044,6761
"sfITS41","41",2019,"D",5,"fescue","B","GC","LV",0,"1579",0,0,0,0,0,0,0,0,0,10,243,417,1844
"sfITS42","42",2019,"D",6,"fescue","B","GC","LV",33,"340",0,0,0,0,0,46,6,0,6,2,3257,732,2066
"sfITS43","43",2019,"D",7,"fescue","B","GC","MV",0,"536",25,0,0,0,0,4,40,6,0,11,467,177,1329
"sfITS44","44",2019,"D",8,"fescue","B","GC","MV",33,"649",0,0,0,0,0,0,0,0,19,0,2791,1031,1714
"sfITS45","45",2019,"D",9,"fescue","C","GC","MV",0,"904",0,0,0,0,0,0,0,5,7,0,489,767,4384
"sfITS46","46",2019,"D",10,"fescue","C","GC","MV",33,"174",0,0,0,5,0,27,42,0,39,79,2885,1410,10123
"sfITS47","47",2019,"D",11,"fescue","C","GC","LV",0,"617",0,0,0,0,0,0,0,0,0,134,416,139,1353
"sfITS48","48",2019,"D",12,"fescue","C","GC","LV",33,"576",0,0,0,0,0,0,60,3,0,0,2627,170,3811
"sfITS49","49",2019,"E",1,"grape","A","noGC","LV",0,"73.3",0,0,0,0,0,4,0,0,0,0,213,970,2310
"sfITS50","50",2019,"E",2,"grape","A","noGC","LV",33,"235",0,0,0,0,0,0,0,2,115,10,1424,1815,2600
"sfITS51","51",2019,"E",3,"grape","A","noGC","LV",66,"233",0,0,53,0,19,111,0,44,22,3,5221,6182,11461
"sfITS52","52",2019,"E",4,"grape","A","GC","LV",0,"29.3",0,0,0,5,0,0,0,3,0,20,423,1463,8604
"sfITS53","53",2019,"E",5,"grape","A","GC","LV",33,"114",0,0,0,0,0,0,8,0,24,0,1371,493,2191
"sfITS54","54",2019,"E",6,"grape","A","GC","LV",66,"154",0,0,31,0,20,138,0,2,68,7,10433,2064,11435
"sfITS55","55",2019,"E",7,"grape","A","GC","MV",0,"109.5",0,0,9,0,0,58,24,20,28,85,3432,3003,11942
"sfITS56","56",2019,"E",8,"grape","A","GC","MV",33,"128.6",0,0,2,0,0,36,0,159,108,0,4498,2682,17843
"sfITS57","57",2019,"E",9,"grape","A","GC","MV",66,"168.1",0,0,0,0,11,0,0,0,69,0,3728,312,3053
"sfITS58","58",2019,"E",10,"grape","A","noGC","MV",0,"127.5",0,0,4,0,0,0,0,3,0,3,574,1390,4083
"sfITS59","59",2019,"E",11,"grape","A","noGC","MV",33,"105.8",0,0,0,0,0,39,0,102,3,6,1268,3322,8318
"sfITS60","60",2019,"E",12,"grape","A","noGC","MV",66,"149.7",0,0,0,0,82,57,45,6,199,128,16163,3143,17685
"sfITS61","61",2019,"F",1,"grape","B","GC","LV",0,"17.7",0,0,25,40,0,3,0,0,0,229,1056,123,14302
"sfITS62","62",2019,"F",2,"grape","B","GC","LV",33,"131",0,0,5,0,0,30,14,3,46,39,1077,1604,8288
"sfITS63","63",2019,"F",3,"grape","B","GC","LV",66,"121",0,0,0,0,0,99,0,0,0,2,17785,5222,24927
"sfITS64","64",2019,"F",4,"grape","B","noGC","LV",0,"107.5",0,0,11,45,0,35,42,35,108,57,5437,2529,8845
"sfITS65","65",2019,"F",5,"grape","B","noGC","LV",33,"107",0,0,0,0,0,4,0,0,3,0,224,98,1077
"sfITS66","66",2019,"F",6,"grape","B","noGC","LV",66,"130.4",0,0,0,0,0,3,0,0,20,10,855,473,2466
"sfITS67","67",2019,"F",7,"grape","B","GC","MV",0,".",0,84,6,0,0,5,0,4,3,16,1341,33919,483
"sfITS68","68",2019,"F",8,"grape","B","GC","MV",33,"121",0,0,0,0,6,4,0,0,76,238,1291,1352,7182
"sfITS69","69",2019,"F",9,"grape","B","GC","MV",66,"116.7",0,0,0,0,3,4,0,18,0,14,1762,3773,9999
"sfITS70","70",2019,"F",10,"grape","B","noGC","MV",0,"107.8",0,0,0,0,0,0,0,0,55,30,840,325,2592
"sfITS71","71",2019,"F",11,"grape","B","noGC","MV",33,"112.5",0,0,12,0,11,110,0,15,121,3,2742,1925,13366
"sfITS72","72",2019,"F",12,"grape","B","noGC","MV",66,"105.3",0,0,0,0,0,248,0,0,1309,5068,3333,3330,24822
"sfITS73","73",2019,"G",1,"grape","C","GC","LV",0,"123.5",0,0,0,0,0,0,0,0,0,0,197,110,3805
"sfITS74","74",2019,"G",2,"grape","C","GC","LV",33,"100.7",0,0,0,0,12,16,0,0,0,0,1274,193,7308
"sfITS76","76",2019,"G",4,"grape","C","noGC","MV",0,"84.9",0,0,0,0,0,0,4,0,12,17,763,266,1431
"sfITS77","77",2019,"G",5,"grape","C","noGC","MV",33,"77.5",0,0,0,0,0,0,0,0,0,0,0,0,18300
"sfITS78","78",2019,"G",6,"grape","C","noGC","MV",66,"141.2",0,0,0,0,0,0,0,0,0,0,789,0,3615
"sfITS79","79",2019,"G",7,"grape","C","GC","MV",0,"109.4",0,0,0,0,0,0,0,0,40,0,173,391,2111
"sfITS80","80",2019,"G",8,"grape","C","GC","MV",33,"50.9",0,0,0,0,0,0,0,0,3648,0,2614,2246,21872
"sfITS81","81",2019,"G",9,"grape","C","GC","MV",66,"97.3",0,0,0,11,0,0,0,0,47,0,1771,1684,5999
"sfITS82","82",2019,"G",10,"grape","C","noGC","LV",0,"94",0,0,93,0,66,0,0,72,74,255,3091,5531,33086
"sfITS83","83",2019,"G",11,"grape","C","noGC","LV",33,"74.7",0,0,0,0,0,111,0,0,0,0,2428,0,12155
"sfITS84","84",2019,"G",12,"grape","C","noGC","LV",66,"150.5",0,0,0,0,0,129,0,0,510,0,4985,2950,14784
